Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Unpolarized capacitor,C,C2,100nF,C_0805_2012Metric,1, ,~
2,Unpolarized capacitor,C,C1,10uF,C_0805_2012Metric,1, ,~
3,Zener diode,D_Zener,D1,"BZT52H-C3V6,115",D_SOD-123F,1, ,~
4,"2x02 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x02_PARALLEL,J1,HEADER_2x02_PARALLEL,Straight_2x02,1, ,
5,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J2,HEADER_2x03_PARALLEL,Straight_2x03,1, ,
6,"2x05 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x05_PARALLEL,J3,HEADER_2x05_PARALLEL,Straight_2x05,1, ,
7,Resistor,R,R1 R2,5k,R_0805_2012Metric,2, ,~
8,"Barometric pressure sensor, 10cm resolution, 10 to 1200 mbar, I2C and SPI interface up to 20MHz, LGA-8",MS5611-01BA,U1,MS5611-01BA,LGA-8_3x5mm_P1.25mm,1, ,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5611-01BA03&DocType=Data+Sheet&DocLang=English





Project info:
Schematic:,ALTIMET02
Variant:,default
Revision:,A
Date:,2023-01-18
KiCad Version:,7.0.7-7.0.7~ubuntu23.04.1
Statistics:
Component Groups:,8
Component Count:,9
Fitted Components:,9
Number of PCBs:,1
Total Components:,9
